"スキル１番は［攻撃］コマンドを選択したときに使用されます。" -> "Skill number 1 is used when you select the Attack command."
"パッシブ能力防具 1782" -> "Passive ability armor 1782"
"記憶容量 2" -> "Storage capacity 2"
"パッシブ能力防具 1783" -> "Passive ability armor 1783"
"記憶容量 2" -> "Storage capacity 2"
"パッシブ能力防具 1784" -> "Passive ability armor 1784"
"記憶容量 2" -> "Storage capacity 2"
"パッシブ能力防具 1011" -> "Passive ability armor 1011"
"記憶容量 3" -> "Storage capacity 3"
"共存不可メモライズ 269" -> "Not coexisting Memoryize 269"
"パッシブ能力防具 1012" -> "Passive ability armor 1012"
"記憶容量 5" -> "Storage capacity 5"
"共存不可メモライズ 268" -> "Not coexisting memorize 268"
"パッシブ能力防具 1013" -> "Passive ability armor 1013"
"記憶容量 7" -> "Storage capacity 7"
"共存不可メモライズ 268" -> "Not coexisting memorize 268"
"パッシブ能力防具 1014" -> "Passive ability armor 1014"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 268" -> "Not coexisting memorize 268"
"ダミー" -> "dummy"
"パッシブ能力防具 1036" -> "Passive ability armor 1036"
"記憶容量 3" -> "Storage capacity 3"
"共存不可メモライズ 274" -> "No coexistence memorize 274"
"パッシブ能力防具 1037" -> "Passive ability armor 1037"
"記憶容量 5" -> "Storage capacity 5"
"共存不可メモライズ 273" -> "Not coexisting memorize 273"
"パッシブ能力防具 1038" -> "Passive ability armor 1038"
"記憶容量 7" -> "Storage capacity 7"
"共存不可メモライズ 273" -> "Not coexisting memorize 273"
"パッシブ能力防具 1039" -> "Passive ability armor 1039"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 273" -> "Not coexisting memorize 273"
"ダミー" -> "dummy"
"パッシブ能力防具 1041" -> "Passive ability armor 1041"
"記憶容量 3" -> "Storage capacity 3"
"共存不可メモライズ 279" -> "Not coexisting Memorize 279"
"パッシブ能力防具 1042" -> "Passive ability armor 1042"
"記憶容量 5" -> "Storage capacity 5"
"共存不可メモライズ 278" -> "Not coexisting memorize 278"
"パッシブ能力防具 1043" -> "Passive ability armor 1043"
"記憶容量 7" -> "Storage capacity 7"
"共存不可メモライズ 278" -> "Not coexisting memorize 278"
"パッシブ能力防具 1044" -> "Passive ability armor 1044"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 278" -> "Not coexisting memorize 278"
"ダミー" -> "dummy"
"パッシブ能力防具 1096" -> "Passive ability armor 1096"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 284" -> "Not coexisting Memoryize 284"
"パッシブ能力防具 1097" -> "Passive ability armor 1097"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 283" -> "Not coexisting Memoryize 283"
"パッシブ能力防具 1098" -> "Passive ability armor 1098"
"記憶容量 30" -> "Storage capacity 30"
"共存不可メモライズ 283" -> "Not coexisting Memoryize 283"
"ダミー" -> "dummy"
"パッシブ能力防具 1161" -> "Passive ability armor 1161"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 100" -> "Not coexisting memorize 100"
"パッシブ能力防具 1162" -> "Passive ability armor 1162"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1163" -> "Passive ability armor 1163"
"記憶容量 10" -> "Storage capacity 10"
"パッシブ能力防具 1164" -> "Passive ability armor 1164"
"記憶容量 5" -> "Storage capacity 5"
"共存不可メモライズ 291" -> "Not coexisting Memorize 291"
"パッシブ能力防具 1165" -> "Passive ability armor 1165"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 290" -> "Not coexisting memorize 290"
"パッシブ能力防具 1166" -> "Passive ability armor 1166"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 290" -> "Not coexisting memorize 290"
"パッシブ能力防具 1167" -> "Passive ability armor 1167"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1168" -> "Passive ability armor 1168"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1169" -> "Passive ability armor 1169"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 296" -> "Not coexisting Memoryize 296"
"パッシブ能力防具 1170" -> "Passive ability armor 1170"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 295" -> "Not coexisting Memoryize 295"
"パッシブ能力防具 1171" -> "Passive ability armor 1171"
"記憶容量 1" -> "Storage capacity 1"
"パッシブ能力防具 1172" -> "Passive ability armor 1172"
"記憶容量 10" -> "Storage capacity 10"
"パッシブ能力防具 1173" -> "Passive ability armor 1173"
"記憶容量 10" -> "Storage capacity 10"
"パッシブ能力防具 1181" -> "Passive ability armor 1181"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 301" -> "Not coexisting memorize 301"
"ダミー" -> "dummy"
"パッシブ能力防具 1183" -> "Passive ability armor 1183"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 300" -> "Not coexisting memorize 300"
"ダミー" -> "dummy"
"パッシブ能力防具 1413" -> "Passive ability armor 1413"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 305" -> "Not co-resident Memory 305"
"パッシブ能力防具 1414" -> "Passive ability armor 1414"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 304" -> "Not coexisting memorize 304"
"ダミー" -> "dummy"
"パッシブ能力防具 1416" -> "Passive ability armor 1416"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 308" -> "Not coexisting Memory 308"
"パッシブ能力防具 1417" -> "Passive ability armor 1417"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 307" -> "Not coexisting Memory 307"
"ダミー" -> "dummy"
"パッシブ能力防具 1419" -> "Passive ability armor 1419"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 311" -> "Not coexisting Memorize 311"
"パッシブ能力防具 1420" -> "Passive ability armor 1420"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 310" -> "Not coexisting memorize 310"
"ダミー" -> "dummy"
"パッシブ能力防具 1422" -> "Passive ability armor 1422"
"記憶容量 5" -> "Storage capacity 5"
"共存不可メモライズ 314" -> "Not co-resident Memory 314"
"パッシブ能力防具 1423" -> "Passive ability armor 1423"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 313" -> "Not coexisting Memorize 313"
"パッシブ能力防具 1424" -> "Passive ability armor 1424"
"記憶容量 15" -> "Storage capacity 15"
"共存不可メモライズ 313" -> "Not coexisting Memorize 313"
"パッシブ能力防具 1425" -> "Passive ability armor 1425"
"記憶容量 5" -> "Storage capacity 5"
"共存不可メモライズ 317" -> "Not coexisting Memorize 317"
"パッシブ能力防具 1426" -> "Passive ability armor 1426"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 316" -> "Not coexisting Memorize 316"
"ダミー" -> "dummy"
"パッシブ能力防具 1428" -> "Passive ability armor 1428"
"記憶容量 5" -> "Storage capacity 5"
"共存不可メモライズ 320" -> "Not coexisting memorize 320"
"パッシブ能力防具 1429" -> "Passive ability armor 1429"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 319" -> "Not coexisting Memorize 319"
"パッシブ能力防具 1430" -> "Passive ability armor 1430"
"記憶容量 15" -> "Storage capacity 15"
"共存不可メモライズ 319" -> "Not coexisting Memorize 319"
"パッシブ能力防具 1431" -> "Passive ability armor 1431"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 323" -> "Not coexisting memorize 323"
"パッシブ能力防具 1432" -> "Passive ability armor 1432"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 322" -> "Not coexisting memorize 322"
"ダミー" -> "dummy"
"パッシブ能力防具 1434" -> "Passive ability armor 1434"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 326" -> "Not coexisting Memory 326"
"パッシブ能力防具 1435" -> "Passive ability armor 1435"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 325" -> "Not coexisting memorize 325"
"ダミー" -> "dummy"
"パッシブ能力防具 1437" -> "Passive ability armor 1437"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 329" -> "Not coexisting memorize 329"
"パッシブ能力防具 1438" -> "Passive ability armor 1438"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 328" -> "Not coexisting Memory 328"
"ダミー" -> "dummy"
"パッシブ能力防具 1440" -> "Passive ability armor 1440"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 332" -> "Not coexisting memorize 332"
"パッシブ能力防具 1441" -> "Passive ability armor 1441"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 331" -> "Not co-resident Memory 331"
"ダミー" -> "dummy"
"パッシブ能力防具 1443" -> "Passive ability armor 1443"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 335" -> "Not coexisting Memoryize 335"
"パッシブ能力防具 1444" -> "Passive ability armor 1444"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 334" -> "Not co-resident Memory 334"
"ダミー" -> "dummy"
"パッシブ能力防具 1446" -> "Passive ability armor 1446"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 338" -> "Not coexisting Memoryize 338"
"パッシブ能力防具 1447" -> "Passive ability armor 1447"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 337" -> "Not coexisting Memoryize 337"
"パッシブ能力防具 1448" -> "Passive ability armor 1448"
"記憶容量 30" -> "Storage capacity 30"
"共存不可メモライズ 337" -> "Not coexisting Memoryize 337"
"パッシブ能力防具 1449" -> "Passive ability armor 1449"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 341" -> "Not coexisting Memoryize 341"
"パッシブ能力防具 1450" -> "Passive ability armor 1450"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 340" -> "Not coexisting memorize 340"
"パッシブ能力防具 1451" -> "Passive ability armor 1451"
"記憶容量 30" -> "Storage capacity 30"
"共存不可メモライズ 340" -> "Not coexisting memorize 340"
"パッシブ能力防具 1452" -> "Passive ability armor 1452"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 344" -> "Not coexisting Memoryize 344"
"パッシブ能力防具 1453" -> "Passive ability armor 1453"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 343" -> "Not coexisting memorize 343"
"パッシブ能力防具 1454" -> "Passive ability armor 1454"
"記憶容量 30" -> "Storage capacity 30"
"共存不可メモライズ 343" -> "Not coexisting memorize 343"
"パッシブ能力防具 1455" -> "Passive ability armor 1455"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 347" -> "Not coexisting memorize 347"
"パッシブ能力防具 1456" -> "Passive ability armor 1456"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 346" -> "Not coexisting Memoryize 346"
"ダミー" -> "dummy"
"パッシブ能力防具 1458" -> "Passive ability armor 1458"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 350" -> "Not coexisting memorize 350"
"パッシブ能力防具 1459" -> "Passive ability armor 1459"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 349" -> "Not coexisting Memoryize 349"
"ダミー" -> "dummy"
"パッシブ能力防具 1461" -> "Passive ability armor 1461"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 353" -> "Not co-resident Memory 353"
"パッシブ能力防具 1462" -> "Passive ability armor 1462"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 352" -> "Not coexisting memorize 352"
"ダミー" -> "dummy"
"パッシブ能力防具 1464" -> "Passive ability armor 1464"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 356" -> "Not coexisting memorize 356"
"パッシブ能力防具 1465" -> "Passive ability armor 1465"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 355" -> "Not coexisting memorize 355"
"ダミー" -> "dummy"
"パッシブ能力防具 1467" -> "Passive ability armor 1467"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 359" -> "Not coexisting memorize 359"
"パッシブ能力防具 1468" -> "Passive ability armor 1468"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 358" -> "Not co-resident Memory 358"
"ダミー" -> "dummy"
"習得不可" -> "Mastered"
"パッシブ能力防具 1470" -> "Passive ability armor 1470"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 362" -> "Not coexisting memorize 362"
"習得不可" -> "Mastered"
"パッシブ能力防具 1471" -> "Passive ability armor 1471"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 361" -> "Not coexisting memorize 361"
"ダミー" -> "dummy"
"習得不可" -> "Mastered"
"パッシブ能力防具 1473" -> "Passive ability armor 1473"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 365" -> "Not coexisting Memoryize 365"
"習得不可" -> "Mastered"
"パッシブ能力防具 1474" -> "Passive ability armor 1474"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 364" -> "Not coexisting memorize 364"
"ダミー" -> "dummy"
"習得不可" -> "Mastered"
"パッシブ能力防具 1476" -> "Passive ability armor 1476"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 368" -> "Not coexisting memorize 368"
"習得不可" -> "Mastered"
"パッシブ能力防具 1477" -> "Passive ability armor 1477"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 367" -> "Not coexisting memorize 367"
"ダミー" -> "dummy"
"習得不可" -> "Mastered"
"パッシブ能力防具 1479" -> "Passive ability armor 1479"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 371" -> "Not coexisting Memorize 371"
"習得不可" -> "Mastered"
"パッシブ能力防具 1480" -> "Passive ability armor 1480"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 370" -> "Not coexisting Memorize 370"
"ダミー" -> "dummy"
"習得不可" -> "Mastered"
"パッシブ能力防具 1482" -> "Passive ability armor 1482"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 374" -> "Not coexisting memorize 374"
"習得不可" -> "Mastered"
"パッシブ能力防具 1483" -> "Passive ability armor 1483"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 373" -> "Not coexisting memorize 373"
"ダミー" -> "dummy"
"パッシブ能力防具 1327" -> "Passive ability armor 1327"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 377" -> "Not coexisting Memorize 377"
"パッシブ能力防具 1328" -> "Passive ability armor 1328"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 376" -> "Not coexisting Memorize 376"
"ダミー" -> "dummy"
